127.0.0.1 - - [11/Dec/2015:17:37:20 +0800] "POST /gii/default/preview?id=model&file=dc02488113b306dd800378eeb452dfdc HTTP/1.1" 200 19398
127.0.0.1 - - [11/Dec/2015:17:37:31 +0800] "POST /gii/model HTTP/1.1" 200 20036
127.0.0.1 - - [11/Dec/2015:17:37:32 +0800] "GET /debug/default/toolbar?tag=566a995bc17c1 HTTP/1.1" 200 19644
127.0.0.1 - - [11/Dec/2015:17:38:31 +0800] "POST /gii/model HTTP/1.1" 200 31063
127.0.0.1 - - [11/Dec/2015:17:38:32 +0800] "GET /assets/8bb60d5/css/bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:38:32 +0800] "GET /assets/3f8ec639/main.css HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:38:32 +0800] "GET /assets/d5cab628/toolbar.css HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:38:32 +0800] "GET /assets/27eb7c0/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:38:32 +0800] "GET /assets/fc1cb3d0/yii.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:38:32 +0800] "GET /assets/fc1cb3d0/yii.validation.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:38:32 +0800] "GET /assets/fc1cb3d0/yii.activeForm.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:38:32 +0800] "GET /assets/8bb60d5/js/bootstrap.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:38:32 +0800] "GET /assets/c86b5152/typeahead.bundle.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:38:32 +0800] "GET /assets/3f8ec639/gii.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:38:32 +0800] "GET /assets/d5cab628/toolbar.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:38:32 +0800] "GET /assets/3f8ec639/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:38:32 +0800] "GET /debug/default/toolbar?tag=566a999808c77 HTTP/1.1" 200 19644
127.0.0.1 - - [11/Dec/2015:17:42:53 +0800] "GET /gii/crud HTTP/1.1" 200 12475
127.0.0.1 - - [11/Dec/2015:17:42:53 +0800] "GET /assets/8bb60d5/css/bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:42:53 +0800] "GET /assets/d5cab628/toolbar.css HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:42:53 +0800] "GET /assets/3f8ec639/main.css HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:42:53 +0800] "GET /assets/27eb7c0/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:42:53 +0800] "GET /assets/fc1cb3d0/yii.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:42:53 +0800] "GET /assets/fc1cb3d0/yii.validation.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:42:53 +0800] "GET /assets/fc1cb3d0/yii.activeForm.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:42:53 +0800] "GET /assets/8bb60d5/js/bootstrap.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:42:53 +0800] "GET /assets/c86b5152/typeahead.bundle.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:42:53 +0800] "GET /assets/3f8ec639/gii.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:42:53 +0800] "GET /assets/d5cab628/toolbar.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:42:53 +0800] "GET /assets/3f8ec639/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:42:53 +0800] "GET /debug/default/toolbar?tag=566a9a9d2b6e7 HTTP/1.1" 200 19388
127.0.0.1 - - [11/Dec/2015:17:44:58 +0800] "POST /gii/crud HTTP/1.1" 200 20213
127.0.0.1 - - [11/Dec/2015:17:44:58 +0800] "GET /debug/default/toolbar?tag=566a9b1a85512 HTTP/1.1" 200 19640
127.0.0.1 - - [11/Dec/2015:17:45:02 +0800] "POST /gii/crud HTTP/1.1" 200 13205
127.0.0.1 - - [11/Dec/2015:17:45:02 +0800] "GET /debug/default/toolbar?tag=566a9b1e89477 HTTP/1.1" 200 19638
127.0.0.1 - - [11/Dec/2015:17:45:10 +0800] "GET /areas HTTP/1.1" 200 15570
127.0.0.1 - - [11/Dec/2015:17:45:11 +0800] "GET /css/site.css HTTP/1.1" 200 1364
127.0.0.1 - - [11/Dec/2015:17:45:11 +0800] "GET /assets/fc1cb3d0/yii.gridView.js HTTP/1.1" 200 6086
127.0.0.1 - - [11/Dec/2015:17:45:11 +0800] "GET /debug/default/toolbar?tag=566a9b26c7e50 HTTP/1.1" 200 19636
127.0.0.1 - - [11/Dec/2015:17:45:58 +0800] "POST /gii/crud HTTP/1.1" 200 20273
127.0.0.1 - - [11/Dec/2015:17:45:59 +0800] "GET /assets/8bb60d5/css/bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:45:59 +0800] "GET /assets/3f8ec639/main.css HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:45:59 +0800] "GET /assets/d5cab628/toolbar.css HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:45:59 +0800] "GET /assets/27eb7c0/jquery.js HTTP/1.1" 304 -
